State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
CO,"Archuleta County, CO","6,869","6,640",229,3.3,"53,337",74.1
CO,"Baca County, CO","2,172","2,133",39,1.8,"38,294",53.2
CO,"Bent County, CO","1,907","1,847",60,3.1,"37,659",52.3
CO,"Boulder County, CO","192,810","187,527","5,283",2.7,"83,591",116.2
CO,"Broomfield County/city, CO","39,581","38,465","1,116",2.8,"96,924",134.7
CO,"Chaffee County, CO","9,620","9,369",251,2.6,"56,168",78.1
CO,"Cheyenne County, CO","1,140","1,120",20,1.8,"54,504",75.8
CO,"Clear Creek County, CO","5,977","5,802",175,2.9,"74,019",102.9
CO,"Conejos County, CO","4,098","3,930",168,4.1,"38,777",53.9
CO,"Costilla County, CO","1,841","1,762",79,4.3,"31,557",43.9
CO,"Crowley County, CO","1,493","1,430",63,4.2,"35,880",49.9
CO,"Custer County, CO","2,083","2,009",74,3.6,"55,242",76.8
CO,"Delta County, CO","14,412","13,852",560,3.9,"46,786",65.0
CO,"Denver County/city, CO","411,594","399,026","12,568",3.1,"68,069",94.6
CO,"Dolores County, CO","1,148","1,116",32,2.8,"47,482",66.0
CO,"Douglas County, CO","191,729","186,463","5,266",2.7,"120,670",167.7
CO,"Eagle County, CO","36,137","35,195",942,2.6,"86,896",120.8
CO,"Elbert County, CO","15,034","14,628",406,2.7,"98,247",136.6
CO,"El Paso County, CO","335,225","322,516","12,709",3.8,"67,923",94.4
CO,"Fremont County, CO","15,054","14,295",759,5.0,"47,885",66.6
CO,"Garfield County, CO","32,376","31,380",996,3.1,"74,421",103.4
CO,"Gilpin County, CO","3,724","3,633",91,2.4,"72,949",101.4
CO,"Grand County, CO","9,912","9,656",256,2.6,"69,214",96.2
CO,"Gunnison County, CO","11,349","11,076",273,2.4,"61,268",85.2
CO,"Hinsdale County, CO",444,432,12,2.7,"62,149",86.4
CO,"Huerfano County, CO","2,584","2,419",165,6.4,"38,242",53.2
CO,"Jackson County, CO",989,963,26,2.6,"51,457",71.5
CO,"Jefferson County, CO","330,997","321,346","9,651",2.9,"85,550",118.9
CO,"Kiowa County, CO",944,927,17,1.8,"44,704",62.1
CO,"Kit Carson County, CO","4,292","4,207",85,2.0,"48,342",67.2
CO,"Lake County, CO","4,801","4,678",123,2.6,"51,802",72.0
CO,"La Plata County, CO","32,278","31,354",924,2.9,"66,219",92.0
CO,"Larimer County, CO","201,302","195,848","5,454",2.7,"71,306",99.1
